token_0,BIO_tag_0
jakarta,
",",O
timur,
",",O
provos,
",",O
lakukan,
",",O
sidang,
",",O
disiplin,
",",O
tuntut,
",",O
mutasi,
",",O
area,
",",O
polda,
",",O
metro,
",",O
jaya,
",",O
fadil,b-nama
",",O
rapat,
",",O
gangguan,
",",O
kamtibman,
",",O
polda,
",",O
metro,
",",O
jaya,
",",O
senin,
",",O
1312,
",",O
fadil,b-nama
",",O
menyayangkan,
",",O
sikap,
",",O
aipda,
",",O
rudi,b-nama
",",O
berempati,
",",O
korban,
",",O
perampokan,
",",O
kabid,
",",O
propam,
",",O
awasi,
",",O
sentra,
",",O
pelayanan,
",",O
kepolisian,
",",O
terpadu,
",",O
spkt,
",",O
loket,
",",O
pelayanan,
",",O
masyarakat,
",",O
masyarakat,
",",O
melapor,
",",O
dilayani,
",",O
menyakiti,
",",O
hati,
",",O
masyarakat,
",",O
fadil,b-nama
",",O
irwasda,
",",O
kabid,
",",O
propam,
",",O
spktspkt,
",",O
tolong,O
",",O
ditertibkan,
",",O
kapolres,
",",O
fadil,b-nama
",",O
fadil,b-nama
",",O
mengultimatum,
",",O
anggotanya,
",",O
kejadian,
",",O
terulang,
",",O
catat,
",",O
anggota,
",",O
menodai,
",",O
kemurnian,
",",O
profesi,
",",O
kabid,
",",O
propam,
",",O
jajaran,
",",O
tuntut,
",",O
hukuman,
",",O
mutasi,
",",O
area,
",",O
fadil,b-nama
",",O
berkas,
",",O
terduga,
",",O
pelanggar,
",",O
selesai,
",",O
kabid,
",",O
humas,
",",O
polda,
",",O
sulsel,
",",O
kombes,
",",O
komang,
",",O
suartana,b-nama
",",O
suartana,b-nama
",",O
chaerul,b-nama
",",O
akmal,b-nama
",",O
sulaiman,b-nama
",",O
penahanan,
",",O
satreskrim,
",",O
polrestabes,
",",O
makassar,
",",O
diambil,
",",O
alih,
",",O
propam,
",",O
polda,
",",O
sulsel,
",",O
sidang,
",",O
kode,
",",O
etik,
",",O
polri,
",",O
